#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
gb8 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
491 32.40 64.62 90.20 36.15 138.96
492 32.34 68.01 80.86 32.07 123.44
493 32.51 39.54 175.72 34.84 149.50
494 32.51 32.88 166.03 33.98 144.59
495 32.60 9.80 96.21 22.56 97.96
496 32.58 57.45 112.18 37.11 152.00
497 32.65 23.44 144.65 30.14 134.06
498 32.67 41.94 166.22 37.23 152.50
499 32.66 86.10 101.47 29.06 33.25
500 32.71 12.54 120.52 25.42 112.98
501 32.65 70.68 76.30 31.96 116.14
502 32.66 78.88 96.09 31.13 72.81
503 32.84 28.17 160.35 33.75 144.62
504 33.02 15.31 123.47 26.79 123.14
505 32.96 44.49 155.77 38.01 162.26
506 32.96 49.73 156.16 39.56 168.82
507 32.97 52.27 127.78 38.82 164.08
508 33.09 83.42 113.39 30.59 40.47
509 33.14 25.82 149.83 33.07 129.75
510 33.05 59.87 94.59 36.94 145.32
511 33.15 30.51 145.80 32.84 142.87
512 33.15 54.55 110.34 40.00 161.64
513 33.12 75.85 96.77 35.90 85.93
514 33.31 36.81 161.64 35.46 152.52
515 33.26 73.26 79.47 34.90 95.58
516 33.30 88.23 90.74 30.75 22.34
517 33.27 62.33 86.60 38.16 139.19
518 33.43 47.31 149.56 39.83 163.00
519 33.54 65.23 85.92 38.18 119.39
520 33.63 34.71 142.81 36.69 153.70
521 33.52 67.76 77.73 37.14 111.82
522 33.49 21.07 120.29 31.21 131.88
523 33.76 80.94 106.43 34.23 45.63
524 33.70 18.07 111.36 27.67 124.29
525 33.69 40.68 148.21 38.67 155.77
526 33.68 56.26 103.81 41.50 145.21
527 33.75 32.42 135.47 37.55 147.55
528 33.97 38.62 152.67 39.51 150.49
529 33.80 70.38 81.87 37.41 93.78
530 33.90 78.14 108.86 35.92 56.76
531 33.94 43.26 132.05 38.54 162.66
532 34.01 90.79 53.31 27.77 12.34
533 34.21 9.23 67.61 23.34 92.09
534 34.01 12.01 82.96 25.64 102.77
535 33.92 24.00 117.27 33.22 138.59
536 34.03 28.47 130.35 35.78 143.92
537 34.08 58.35 96.00 40.74 142.93
538 34.05 50.05 114.88 42.22 159.65
539 34.19 86.12 107.98 38.78 24.50
540 34.06 52.69 104.78 41.62 153.83
541 34.28 45.71 120.87 40.68 164.19
542 34.29 14.91 89.32 27.07 121.04
543 34.41 60.53 87.66 40.63 125.75
544 34.38 62.88 88.12 40.79 113.63
545 34.51 26.35 111.50 34.27 136.68
546 34.50 75.29 109.82 39.35 60.31
547 34.52 83.41 117.50 42.11 32.31
548 34.53 72.77 105.57 41.31 64.17
549 34.66 21.99 95.39 33.29 132.76
550 34.79 88.56 101.17 40.59 17.70
551 34.74 30.38 107.26 37.42 134.48
552 34.86 19.51 90.55 29.02 117.89
553 34.73 35.82 116.05 37.85 138.49
554 34.73 48.12 101.85 41.92 148.89
555 34.93 54.10 100.78 43.52 128.12
556 34.84 65.19 102.92 42.53 91.66
557 34.76 67.59 101.83 41.20 78.59
558 34.84 33.11 114.87 39.13 139.13
559 34.85 41.76 109.57 38.78 152.62
560 34.90 56.30 94.82 44.77 119.61
561 35.17 37.75 113.45 40.94 142.54
562 35.01 70.42 102.54 42.87 69.07
563 35.18 17.07 76.22 29.49 122.04
564 35.07 51.27 99.97 46.76 140.02
565 35.26 24.50 89.91 34.72 122.35
566 35.19 44.34 101.83 42.02 146.53
567 35.13 78.10 126.00 43.16 38.20
568 35.23 80.68 128.50 45.08 33.03
569 35.43 11.27 61.63 26.56 95.02
570 35.48 27.87 99.49 36.95 126.55
571 35.44 40.00 94.52 41.37 142.35
572 35.38 58.67 100.52 45.31 107.82
573 35.53 14.26 64.70 28.44 111.99
574 35.65 90.76 73.13 46.47 11.58
575 35.65 63.40 104.79 44.31 79.45
576 35.74 61.03 102.48 47.62 91.86
577 35.73 86.33 107.28 44.38 18.34
578 35.77 47.19 88.83 43.26 135.25
579 35.73 73.23 130.75 48.47 48.04
580 35.85 34.48 85.66 39.37 129.69
581 35.94 76.25 140.05 48.26 33.66
582 35.89 31.64 88.96 40.39 131.19
583 35.96 49.63 94.42 46.21 133.66
584 35.83 83.12 126.74 49.33 24.28
585 35.83 9.17 51.61 26.77 76.52
586 35.85 68.49 133.36 47.34 66.15
587 36.10 7.77 49.48 24.33 67.34
588 36.02 22.05 77.72 34.67 114.52
589 36.13 42.78 89.49 47.44 139.23
590 36.14 52.56 103.30 45.14 113.56
591 36.18 66.00 125.23 48.51 69.42
592 36.22 54.83 113.83 46.38 91.13
593 36.31 19.29 69.44 31.87 100.44
594 36.29 57.00 124.42 47.18 83.23
595 36.40 29.41 90.68 42.26 118.08
596 36.46 36.43 89.81 45.07 123.86
597 36.42 70.85 139.84 46.57 44.40
598 36.46 45.26 87.49 45.10 121.68
599 36.27 15.70 62.43 30.26 95.98
600 36.47 38.64 91.36 43.18 120.49
