#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu12 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
527 29.00 41.88 5.81 60.43 27.13
528 29.23 31.97 4.96 64.20 25.13
529 29.18 39.75 5.32 66.41 28.40
530 29.39 18.34 3.83 62.56 19.25
531 29.10 14.27 2.93 28.98 12.61
532 29.13 47.20 5.57 58.04 27.36
533 29.37 85.21 3.64 80.04 25.90
534 29.35 72.02 5.64 161.48 30.68
535 29.34 60.12 6.37 160.59 31.32
536 29.39 20.98 4.00 51.42 20.42
537 29.31 64.36 6.36 170.53 29.22
538 29.43 34.55 4.81 79.99 23.68
539 29.55 53.14 5.86 106.17 27.52
540 29.61 76.85 4.95 142.48 26.73
541 29.67 29.17 5.02 81.69 22.77
542 29.61 88.14 2.19 35.63 14.87
543 29.50 50.32 6.37 91.63 27.73
544 29.86 15.67 3.04 57.72 13.58
545 29.78 55.59 6.06 136.18 30.08
546 29.86 45.73 6.91 94.78 27.51
547 29.80 67.92 5.66 175.04 27.46
548 29.81 23.61 4.10 76.22 22.18
549 29.85 36.94 5.88 113.17 29.46
550 29.82 43.60 6.02 95.35 30.77
551 29.81 57.98 5.98 162.80 32.59
552 29.96 81.49 4.29 95.43 31.48
553 30.13 62.26 6.48 173.74 29.58
554 30.24 26.54 4.46 89.31 22.87
555 30.15 47.88 5.93 118.47 29.78
556 30.24 65.52 6.67 203.26 36.18
557 30.23 73.89 5.34 141.98 37.55
558 30.33 39.37 6.52 143.96 27.43
559 30.42 70.28 5.87 143.06 39.76
560 30.46 41.62 5.47 134.64 27.17
561 30.51 31.13 5.75 139.01 23.49
562 30.48 78.95 4.89 118.55 38.72
563 30.57 33.72 5.52 145.00 25.74
564 30.50 83.70 4.68 85.53 56.17
565 30.57 52.00 6.61 160.75 29.57
566 30.50 86.60 3.30 50.27 32.36
567 30.68 59.85 6.20 176.06 31.53
568 30.74 20.80 3.93 111.09 21.29
569 30.71 49.62 6.75 164.24 28.56
570 30.86 18.02 4.27 103.36 18.56
571 30.81 54.25 6.10 179.94 32.77
572 30.91 57.10 6.86 188.64 30.31
573 31.10 35.84 5.71 166.55 29.69
574 31.11 28.79 4.41 146.05 26.84
575 31.07 75.92 5.28 103.91 46.20
576 31.12 23.87 4.85 135.49 23.39
577 31.09 43.85 6.47 168.34 28.74
578 31.07 63.61 6.03 182.08 36.56
579 31.09 15.18 3.58 83.36 15.81
580 31.05 67.36 6.21 141.55 46.24
581 31.10 46.25 6.74 156.51 29.31
582 31.27 38.24 6.22 174.46 29.25
583 31.27 72.51 5.91 115.44 69.40
584 31.29 89.55 2.08 25.29 27.90
585 31.41 81.59 4.97 72.37 84.92
586 31.74 26.42 5.09 154.72 25.07
587 31.60 86.25 3.77 26.02 80.61
588 31.57 12.58 2.66 52.13 13.09
589 31.68 40.75 5.82 183.67 29.91
590 31.65 61.18 6.77 167.84 41.27
591 31.67 32.49 5.29 179.68 27.79
592 31.48 79.53 5.38 68.03 89.00
593 31.76 48.16 6.93 172.21 36.99
594 31.69 50.96 6.49 180.67 36.53
595 31.67 69.75 6.86 116.80 86.47
596 31.57 78.11 6.41 85.46 77.14
597 31.84 55.69 5.83 182.08 42.62
598 31.90 58.25 6.68 147.50 46.16
